Addrcity,Addrfull,Amenity,Building,Capacitype,Name,Operatorty,Osm Id,School Level,Source,Geometry
Mpumwire,,school,,,Saint George Nursery and Primary School,,4027863837,Primary,www.ubos.org,Point
Mpuna,,school,,,Nyabyerima Primary School,,4016224815,Primary,www.ubos.org,Point
Mpunda,,school,,,Mary and Martha Nursery School,,4029052455,Kindergarten,www.ubos.org,Point
Mpunda,,school,,,Ntungamo Primary School,,4032619818,Primary,www.ubos.org,Point
Mpunge,,school,,,Mpunge Modern Primary School,,4029550031,Primary,www.ubos.org,Point
Mpunge,,school,,,Mpunge Primary School,,4029550032,Primary,www.ubos.org,Point
Mpunge,,school,,,Mugalu Memorial Primary School,,4029550033,Primary,www.ubos.org,Point
Mpungu,,school,,,Mpungu Infant Nursery School,,4029231622,Kindergarten,www.ubos.org,Point
Mpungwe,,school,,,Mpungwe Primary School,,4031527367,Primary,www.ubos.org,Point
Muatula,,school,,,Kiyeyi Primary School,,4034616846,Primary,www.ubos.org,Point
Mubaale,,school,,,Mubaale Parent Primary School,,4029521014,Primary,www.ubos.org,Point
Mubanda,,school,,,Lake View High School,,4035717417,Secondary,www.ubos.org,Point
Mubanda,,school,,,Lweza Church of Uganda Primary School,,4035717419,Primary,www.ubos.org,Point
Mubanda,,school,,,Mubanda Primary School,,4035717420,Primary,www.ubos.org,Point
Mubango,,school,,,Kiyagi Mubango Primary,,4034401618,Primary,www.ubos.org,Point
Mubende,,school,,,Top Care Primary School,,4021862521,Primary,www.ubos.org,Point
Muceva,,school,,,Future Foundation Nursery Primary School,,4021468590,Primary,www.ubos.org,Point
Muchahi,,school,,,Bubaare Primary School,,4023629874,Primary,www.ubos.org,Point
Muchahi,,school,,,Bubaare Secondary School,,4023629875,Secondary,www.ubos.org,Point
Muduuma,,school,,,Kalinabiri Primary School,,4040143563,Primary,www.ubos.org,Point
Muduuma,,school,,,Kyondo Primary School,,4062449735,Primary,www.ubos.org,Point
Muduuma,,school,,,Muduuma TRC,,4062449744,Other,www.ubos.org,Point
Muduuma,,school,,,Saint Charles Lwanga Primary School,,4040143572,Primary,www.ubos.org,Point
Muduuma,,school,,,Saint John's Secondary School,,4040143574,Secondary,www.ubos.org,Point
Mufufu A,,school,,,Buwesswa Primary School,,3995884482,Primary,www.ubos.org,Point
Mufumi,,school,,,Idudi Primary School,,4079287956,Primary,www.ubos.org,Point
Mufumi,,school,,,Mufumi Primary School,,4029554799,Primary,www.ubos.org,Point
Mugabi,,school,,,Blue Angel's Nursery and Primary School,,4025662536,Primary,www.ubos.org,Point
Mugamba,,school,,,Bamunanika Primary School,,3975117149,Primary,www.ubos.org,Point
Muganiro East,,school,,,Maruba Primary School,,4026144777,Primary,www.ubos.org,Point
Mugarutsya I,,school,,,Bright Future Primary School,,4032622639,Primary,www.ubos.org,Point
Mugarutsya I,,school,,,Mugarutsya Primary School,,4032626094,Primary,www.ubos.org,Point
Mugarutsya I,,school,,,Rwatukwire Moslem Primary School,,4032626131,Primary,www.ubos.org,Point
Mugarutsya II,,school,,,Urban Standard Primary School,,4032626149,Primary,www.ubos.org,Point
Mugenya,,school,,,Omugenys-Odela Primary School,,4023415220,Primary,www.ubos.org,Point
Mugenyi,,school,,,Mugenyi Primary School,,4029262010,Primary,www.ubos.org,Point
Mugeza,,school,,,Primary School,,4029681005,Primary,www.ubos.org,Point
Mugge,,school,,,Queen of Peace High School,,4033923351,Secondary,www.ubos.org,Point
Mughende,,school,,,Garama Secondary School,,3962068755,Secondary,www.ubos.org,Point
Mughende,,school,,,Kisinga Islamic Primary School,,3962068791,Primary,www.ubos.org,Point
Mughete,,school,,,Quran Primary School,,3962068826,Primary,www.ubos.org,Point
Mugina,,school,,,Kiganda Nursery School,,4023671333,Kindergarten,www.ubos.org,Point
Muginda,,school,,,Ibanda Town Primary School,,4042757395,Primary,www.ubos.org,Point
Mugolire,,school,,,Kacheera High School,,4032770233,Secondary,www.ubos.org,Point
Mugolire,,school,,,Kacheera Mixed Primary School,,4032770234,Primary,www.ubos.org,Point
Mugolire,,school,,,Kacheera Parents Academy,,4032770236,Other,www.ubos.org,Point
Mugoma,,school,,,Mugoma Primary School,,4032519300,Primary,www.ubos.org,Point
Mugongo,,school,,,Keita Primary School,,4023671331,Primary,www.ubos.org,Point
Mugongo,,school,,,Mama Barbara Nursery School,,4023671348,Kindergarten,www.ubos.org,Point
Mugongo West,,school,,,Mugongo Nursery School,,4025380499,Kindergarten,www.ubos.org,Point
Mugongo West,,school,,,Mugongo Primary School,,4025380500,Primary,www.ubos.org,Point
Mugono,,school,,,Nyakabongo Primary School,,4029331920,Primary,www.ubos.org,Point
Mugore,,school,,,Mugore Primary School,,4031071305,Primary,www.ubos.org,Point
Mugore,,school,,,Primary School,,4031071309,Primary,www.ubos.org,Point
Mugore,,school,,,Primary School,,4033713671,Primary,www.ubos.org,Point
Mugoye,,school,,,Mugoye Primary School,,3969575342,Primary,www.ubos.org,Point
Mugulu,,school,,,Mugulu Primary School,,4061341818,Primary,www.ubos.org,Point
Mugulu Busoko,,school,,,Magambo Mem Primary School,,4034616849,Primary,www.ubos.org,Point
Mugulu Central,,school,,,Mugulu High School,,4034616859,Secondary,www.ubos.org,Point
Muguluka East,,school,,,Muguluka Infant School,,4036003570,Kindergarten,www.ubos.org,Point
Muguluka East,,school,,,Muguluka Parents School,,4036003571,Other,www.ubos.org,Point
Muguluka East,,school,,,Pilkington College,,4036004598,Other,www.ubos.org,Point
Mugungulu A,,school,,,Mugungulu Secondary School,,4031630269,Secondary,www.ubos.org,Point
