Id,County,Code,Conventional Households,Main Electricity,Low-Quality Stopgap Total,Kerosene (Total),Paraffin Pressure Lamp,Paraffin Lantern,Paraffin Tin Lamp,Gas Lamp,Wood,Solar (Total),Solar,Torch / Spotlight (Solar-Charged),Torch / Spotlight (Dry Cells)),Candle,Battery (Car-Charged),Generator (Diesel / Petrol),Biogas,Not Stated,Cooking - Electricity,Cooking - Paraffin,Cooking - Gas (LPG),Cooking - Biogas,Cooking - Firewood,Cooking - Charcoal,Cooking - Solar,Cooking - Not Stated,Total Births - 5 Years,Total Births - 12 Months,Percent of Births in Health Facility - 5 Years,Percent of Births in Health Facility - 12 Months,Percent of Births in Non Health Facility - 5 Year,Percent of Births in Non Health Facility - 12 Months,Unknown - 5 Years,Unknown - 12 Months,,Total Households,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Earth/Sand - Floor Material,Dung - Floor Material,Wood Planks/Shingles/Timber - Floor Material,Palm/Bamboo - Floor Material,Parquet or Polished Wood - Floor Material,Vinyl or Asphalt Strips - Floor Material,Ceramic Tiles - Floor Material,Concrete/Cement/Terrazo - Floor Material,Wall to Wall Carpet - Floor Material,Cane/Palm/Trunks - Wall Material,Grass/Reeds - Wall Material,Mud/Cow Dung - Wall Material,Stone with Mud - Wall Material,Covered Adobe - Wall Material,Uncovered Adobe - Wall Material,Plywood/Cardboard - Wall Material,Off Cuts/Reused Wood/Wood Planks - Wall Material,Iron Sheets - Wall Material,Concrete/Concrete Blocks/Precast Wall - Wall Material,Stone with Lime/Cement - Wall Material,Bricks - Wall Material,Canvas/Tents - Wall Material,Nylon/Cartons - Wall Material,Timber - Wall Material,Prefabricated Panels - Wall Material,Grass/Twigs - Roofing,Makuti Thatch - Roofing,Dung /Mud - Roofing,Iron Sheets - Roofing,Tin Cans - Roofing,Asbestos Sheet - Roofing,Concrete/Cement - Roofing,Tiles - Roofing,Canvas/ Tents - Roofing,Decra/Versatile - Roofing,Cartons/Cardboard - Roofing,Shingles - Roofing,Radio,Computer/Tablet,Functional TV,Analogue TV,Internet ,Bicycle,Motorcycle ,Refrigerator,Car,Truck,Tuk Tuk,Phone Ownership,,Households,Main Sewer - Human Waste Disposal,Septic Tank - Human Waste Disposal,Cesspool - Human Waste Disposal,VIP Latrine - Human Waste Disposal,Pit Latrine Covered - Human Waste Disposal,Pit Latrine Uncovered - Human Waste Disposal,Bucket Latrine - Human Waste Disposal,Open/ Bush - Human Waste Disposal,Bio-Septic Tank/Biodigester - Human Waste Disposal,Pond - Drinking Water Source,Dam/Lake - Drinking Water Source,Stream/River - Drinking Water Source,Protected Spring - Drinking Water Source,Unprotected Spring - Drinking Water Source,Protected Well - Drinking Water Source,Unprotected Well - Drinking Water Source,Borehole/Tube Well - Drinking Water Source,Piped into Dwelling - Drinking Water Source,Piped to Yard/Plot - Drinking Water Source,Bottled Water - Drinking Water Source,Rain/Harvested Water - Drinking Water Source,Water Vendor - Drinking Water Source,Public Tap/Standpipe - Drinking Water Source,Total Farming,Exotic Cattle Dairy - Livestock & Fish,Exotic Cattle Beef - Livestock & Fish,Indigenous Cattle - Livestock & Fish,Sheep - Livestock & Fish,Goats - Livestock & Fish,Camels - Livestock & Fish,Donkeys - Livestock & Fish,Pigs - Livestock & Fish,Indigenous Chicken - Livestock & Fish,Exotic Chicken - Livestock & Fish,Beehives - Livestock & Fish,Rabbits - Livestock & Fish,Fish Ponds - Livestock & Fish,Fish Cages - Livestock & Fish,Tea - Permanent Crop Growth,Coffee - Permanent Crop Growth,Avocado - Permanent Crop Growth,Citrus - Permanent Crop Growth,Mango - Permanent Crop Growth,Coconut - Permanent Crop Growth,Macadamia Cashew Nut - Permanent Crop Growth,Khat (Miraa) - Permanent Crop Growth,,Total Disability Percent,Visual Disability Total,Hearing Disability Total,Mobility Disability Total,Cognitive Disability Total,Self-Care Disability Total,Communication Disability Total,Total Population (SPECIFIC TO EMPLOYMENT),Working,Seeking Work,Outside the Labor Force,Not Stated,Average Household Size,Under 18,Over 60,Over 70,Total Population,Under 18 Percent,Over 60 Percent,Over 70 Percent
11,Isiolo,ISL,53217,40.6,41.3,7.8,0.3,3.8,3.7,1.2,6.7,18.1,9.1,9,24.6,0.7,0.2,0.1,0,0,1.2,1.1,12.6,0.5,60.5,23.9,0.3,0,25920,8037,67.7,70.7,31.8,29,0.5,0.3,,58072,74,4.8,40.2,0.1,0.4,2.3,61.9,1.1,0.6,0.4,0.2,0.2,5.2,29.3,1,1.5,12.6,30.8,5.8,0.9,0.3,1,2.7,5.4,10.9,8.4,3.4,0.1,1.7,14.5,0,15.9,1.4,2.5,70.2,0.3,0.7,1.9,0.3,0.3,0.4,6.1,0,39.1,4.5,26.8,2.4,8.9,4.2,7.9,7.5,4,0.7,0.6,38.2,,58072,4,3.1,0.4,17.7,36.8,6.7,0.6,30.6,0.1,0.6,3.1,17.7,1.2,1.9,3.9,8.5,12,6,27.2,0.7,0.5,3.9,12.7,24271,12900,10121,248577,854725,1030005,148859,33692,158,52192,11439,2227,242,288,51,0,0,0,0,0,0,0,0,,1.474292239,1040,566,980,509,498,358,126200,59.38748019,19.90174326,20.68779715,0.022979398,4.6,141796,10630,4319,267993,52.91033721,3.966521514,1.611609258
12,Meru,MRU,423931,40.2,37.4,25.4,0.5,11,13.9,0.2,1.5,22.4,18.8,3.6,8.3,1.5,0.5,0,0,0,0.5,2.2,12.6,0.5,74.3,9.8,0.1,0,144104,38222,93.5,94.5,6.5,5.5,0.1,0.1,,426360,64.5,58.8,47.2,0.3,0.4,12.1,44,1.9,1.3,0.1,0.3,0.1,5.9,45,1.4,0.4,0.3,5.1,0.5,0.5,0.4,1.9,5.5,1.8,8.6,14,3,0,0.2,57.8,0,0.5,0.1,0.2,94.3,0.1,1.8,1.4,0.2,0,0.7,0.3,0.1,53.4,4.3,34.5,4.1,10.2,8.7,9.8,3.5,5.2,0.7,0.3,50.3,,426360,0.7,5.2,0.2,21.3,62.3,8.5,0.3,1.4,0.1,0.3,0.2,21.5,2.4,1.9,2,1.4,7.5,17.9,24.6,0.8,1.4,11,6.8,274865,114251,24656,173277,138771,342198,5732,5822,30789,1006744,140951,50151,45935,6734,155,30404,28195,41746,6255,27457,0,29545,85023,,4.827994019,19508,9273,19289,14135,7577,4843,892971,75.7379579,8.245508533,15.98484161,0.031691959,3.6,645074,109365,46019,1545673,41.7341831,7.075558673,2.977279153
13,Tharaka-Nithi,TNT,109450,34.7,44.3,22.5,0.4,9,13.1,0.1,2.1,21,17.1,3.9,18.2,1.1,0.2,0,0,0,0.2,1.5,10,0.3,82.2,5.7,0.1,0,33772,9109,91.7,92.9,8.2,7,0.1,0.1,,109860,78.1,72.1,61.9,0.3,0.7,7.1,50.9,0.6,0.3,0,0.1,0.1,4.2,43,0.6,0.4,0.2,26.9,1.6,2.5,1.9,0.8,1.8,1.4,6.1,17.1,6.6,0,0.1,32.6,0.1,0.7,0.1,0.3,95.4,0.1,0.7,1.5,0.1,0,0.7,0.3,0,58.4,4.9,29.8,3.5,11.5,18.2,13.6,3.5,5,0.7,0.3,51.3,,109860,0.6,3.8,0.1,15.6,66.5,12,0.2,1.1,0.1,0.4,0.1,34.6,0.6,1,3,3.1,5.1,18.8,24.1,0.3,0.3,1.8,6.9,85767,32634,5137,52935,53816,214217,124,5867,8753,418193,31876,56748,13321,1588,248,7227,15792,13171,1630,14102,0,9280,8404,,5.045908894,4840,2421,5182,3887,2071,1438,232608,79.86741643,5.793437887,14.3124914,0.026654285,3.6,159155,35641,16076,393170,40.47994506,9.065035481,4.088816542
14,Embu,EBU,182427,47,29.1,20.2,0.4,8,11.8,0.1,0.4,23.9,21.1,2.8,6.6,1.5,0.3,0,0,0,0.4,4,18.4,0.4,70.3,6.2,0.2,0,54176,14556,93,94.7,7,5.3,0,0,,182743,71.7,67.5,53.9,0.3,0.9,6.5,39.5,0.8,0.1,0,0.1,0.1,7.6,50.9,0.9,0.1,0.1,16,2,5.6,3.5,0.2,1.2,3.4,8,18.8,20.9,0,0.1,20.2,0,0.2,0,0.2,95,0.1,0.9,2.4,0.3,0,0.7,0.1,0,62.9,6.3,42,5,14.7,17.5,13.9,5.6,6.6,0.9,0.4,57,,182743,2.2,7.2,0.3,14.5,66.2,8.6,0.3,0.7,0,0.7,3,20.1,0.5,0.9,3,3,5.5,20.7,28.6,0.2,1.3,4.5,8.1,130990,40843,9167,88405,45246,269133,228,11521,12837,756202,104390,57408,29746,1766,977,18664,28996,19355,3581,26771,0,27488,34900,,5.918908927,9130,3866,10030,7043,3429,2523,374429,82.53126761,5.249593381,12.20899022,0.010148787,3.3,230850,49352,22021,608575,37.93287598,8.109435977,3.618452943
15,Kitui,KTU,261814,17.1,38.9,23.7,0.5,13.8,9.4,0.2,1.9,44,37.3,6.7,11.7,0.9,0.3,0,0,0,0.2,2.7,6.7,0.3,81.3,8.6,0.2,0,95400,27650,77.2,81.5,22.6,18.4,0.2,0.1,,262942,81.9,75.9,67.6,0.2,0.3,2.6,52.1,0.5,0.2,0,0.2,0,4.4,42.1,0.4,0.5,0.4,11.6,4.4,8.5,7.5,0,0.5,1.8,10.6,7.4,46.4,0,0,0.2,0,2.7,0.3,0.4,93.1,0.1,1.5,1,0.3,0,0.5,0.1,0,55.1,3.5,19.5,3,6.8,22,13.2,2.7,3.7,0.7,0.6,49.8,,262942,0.5,2.8,0.1,13,62,12,0.3,9.2,0.1,0.7,5.5,42.3,0.9,0.8,6.7,6.2,13.2,2.8,2.3,0.9,2.4,5.9,9.3,215322,10412,8869,324351,105830,1370560,5202,162609,1254,1361190,56769,224113,3209,2462,161,0,0,12066,7510,35471,0,0,0,,3.581820774,9528,5073,12028,5844,4233,3989,586185,79.55867175,5.309415969,15.11451163,0.01740065,4.3,545111,89723,43038,1136154,47.9786191,7.897080853,3.788042818
16,Machakos,MCS,399523,48.3,23.2,19.9,0.6,11.6,7.7,0.1,0.2,28.5,25.6,2.9,0.9,1.8,0.3,0,0,0,0.7,11.1,27.5,0.5,53.4,6.7,0.1,0,126591,33548,88.9,92.2,11,7.8,0.1,0,,402466,57.5,53.9,43.9,0.1,0.5,4.1,25.5,0.3,0.1,0,0.2,0.1,16.5,56.3,0.8,0,0,0.8,2.5,6.8,4.8,0.1,0.1,9.4,19.5,24.2,31.5,0,0,0.1,0,0.2,0,0.1,85.9,0.1,1.9,8.9,1.2,0,1.3,0.2,0.1,63.1,9.4,42.6,5.3,17.6,19.7,9.8,9.4,8.7,1.1,0.5,56.4,,402466,5.7,12.6,0.3,14.9,54.8,10.1,0.3,0.9,0.5,0.8,3.9,13.6,3.5,4.1,5.5,4.4,23.2,3.4,3.1,5.7,5.1,16.8,7.1,231341,30369,12656,319326,171525,624891,1473,24794,5517,1449665,186287,31899,40577,3351,842,0,23525,45243,22797,75504,0,6519,0,,3.288210547,11121,4987,14236,7354,5034,4023,857502,76.72250327,8.835198052,14.42433954,0.017959142,3.5,558087,106241,45310,1421898,39.24943983,7.471773643,3.186585817
17,Makueni,MUE,243979,20.4,31.4,26.7,0.7,16,10,0.1,0.3,48.2,44,4.2,2.9,1,0.4,0,0,0,0.2,4.6,8.6,0.2,76.1,10.1,0.1,0,75682,20805,86.7,91,13.2,8.9,0.1,0.1,,244669,79.1,73.8,64.6,0.2,0.4,6.3,36.6,0.5,0,0,0.1,0,5.9,56.4,0.5,0.1,0,3.5,3.3,14.5,6.4,0,0.1,2.5,7.8,5.9,55.7,0.1,0,0.1,0,0.6,0.1,0.1,96,0.1,1.6,0.6,0.2,0,0.5,0,0,62.7,4,24.5,4,9.4,29.9,14.2,2.5,4.5,0.9,0.4,49,,244669,0.4,2.4,0.1,15.2,67.1,13.4,0.2,1.2,0.1,0.6,2.7,29.1,2.6,5.5,5.9,7.3,11.8,3,3.7,1.5,5.9,10.6,9.8,193531,21517,8726,295560,133115,799638,1111,40311,1502,1397211,75556,57594,16760,2243,644,0,3371,34107,27006,70130,0,4293,0,,5.590031925,13399,6370,16632,9245,5378,4185,553202,80.69421296,5.698280194,13.58653801,0.020968832,4,425205,86344,38420,987633,43.05293566,8.742518729,3.890108978
18,Nyandarua,NDR,178224,41.3,27.6,23.5,0.4,15,8.1,0.1,0.1,31.1,28.4,2.7,1.1,1.6,1.1,0,0,0,0.3,1.3,12.5,0.2,70,15.6,0,0,56625,16247,92.8,95.1,7.2,4.9,0,0,,179686,78.4,75.2,61.4,0.1,0.3,2.3,50.6,0.3,0.7,0,0.2,0.1,6.3,39.5,2.2,0.1,0,17.7,1.1,0.5,0.4,1,9.4,12.5,7.1,19.3,0.8,0,0.1,29.8,0,0.1,0,0.1,97.2,0.1,0.8,0.8,0.1,0,0.3,0.4,0,72.4,4.6,48.9,5.2,12.4,20.3,11.2,2.2,5.4,1.2,0.3,55,,179686,0.3,3.1,0.1,17.8,71.8,6.6,0.1,0.2,0,0.5,2.6,11.3,1.6,1.2,20.4,4,5.4,8.8,18.8,0.3,19,2.8,3.3,140854,135895,16879,58589,277762,37009,0,9458,4017,738187,78274,8870,39833,499,22,0,0,2892,1580,0,0,0,0,,3.623393898,5036,1897,7623,4298,2489,1784,359055,86.58979822,2.694851764,10.70253861,0.012811408,3.5,277677,45788,21733,638269,43.50469786,7.173777827,3.404990686
19,Nyeri,NER,244564,71.8,18.6,16.6,0.4,8.1,8.1,0.1,0.1,9.6,8.4,1.2,0.7,1,0.3,0,0,0,0.5,3.3,23.2,0.5,64.8,7.5,0,0,62250,16831,97.9,98.5,2.1,1.5,0,0,,248050,66.2,62.3,49.6,0.3,0.5,9.5,39.8,0.1,0.8,0,0.2,0.1,6.2,51.7,1.2,0.1,0,1.7,0.3,1.2,0.8,0.5,6.5,4.1,12,18.5,2.5,0,0.1,51.6,0,0.1,0,0.1,93.8,0.1,1.6,2.9,0.5,0,0.6,0.2,0.1,74.3,8.6,59.5,5.5,21.2,11.7,8.8,7.2,7.7,1,0.3,64.1,,248050,6.7,7.1,0.2,14,66.3,5.3,0.1,0.1,0.1,0.2,0.3,13.4,0.5,0.4,2.2,1.1,1,24.1,40.2,0.2,8.9,2.2,5.3,164229,92486,11501,60520,153728,107460,0,772,15188,734889,150195,12433,40982,6315,238,23300,57983,22810,2521,10228,0,25436,0,,4.199922807,6530,2513,11243,5468,3692,2437,483141,82.8919508,5.070569461,12.02816569,0.009314051,3,271029,75380,36954,759133,35.70243949,9.929748806,4.867921695
20,Kirinyaga,KIR,203576,65.3,25,22.2,0.4,9.3,12.5,0,0.1,9.7,8.5,1.2,0.9,1.5,0.3,0,0,0,0.3,5.5,23.8,0.4,65.4,4.4,0,0,51979,13638,98.1,98.7,1.9,1.3,0,0,,204188,68.5,63.9,47.7,0.3,0.9,20.7,42.2,0.2,0.1,0,0,0.1,8.6,47.3,1.5,0,0,10.4,1.9,4.7,2.2,0.3,2.9,3.8,12.8,24.1,9.4,0,0,27.5,0,0,0,0.1,95,0.1,1.5,2.2,0.2,0,0.7,0.1,0,66.6,5.9,54,4.9,13.6,21.1,14.6,5.5,6,0.9,0.5,22.7,,204188,0.7,8.4,0.2,17.9,68.5,3.9,0.2,0.2,0,0.1,0.1,27.8,1.4,1,7.4,1.3,3.7,17.2,30,1,1.3,1.9,5.9,139866,48488,12931,55022,26751,106844,0,2404,15909,675656,100845,11434,36742,8154,557,25135,47835,19691,2429,15311,0,28508,5821,,4.552573806,6219,2292,9275,4967,3016,2019,393421,84.79313509,4.494167825,10.70380076,0.008896322,3,213069,50726,22546,610380,34.90759855,8.310560634,3.69376454
21,Murang?a,MRA,317496,60.5,29.1,27.3,0.5,12.5,14.3,0.1,0.1,10.4,9.2,1.2,0.5,0.9,0.2,0,0,0,0.4,4.7,17,0.4,74.8,2.6,0,0,89903,24866,94.1,95.4,5.9,4.6,0,0,,318105,72.7,69.2,55.1,0.1,0.4,3.5,39.9,0.2,0.2,0,0.2,0.1,7.9,50.5,1,0.1,0,7.4,1.1,2.8,1.7,0.3,2.2,24.4,10.6,30.2,7.6,0,0,11.4,0.2,0,0,0.2,93.5,0.2,1.5,3.5,0.3,0,0.6,0.1,0,70.7,4.9,47.9,3.2,11.9,12.1,8.5,4.7,5,0.9,0.3,57.4,,378422,16.6,31.2,1.1,11.1,30.8,5.5,2.4,0.9,0.3,0.1,0.2,0.1,1.2,0.1,4.6,0.4,5.2,7.2,5.2,11.4,0.3,43.5,20.5,12497,3015,1384,6252,2292,25411,58,68,3032,115315,37591,894,1343,309,306,0,0,0,0,0,1688,0,0,,4.242727197,10411,4402,18630,8336,5822,3664,642723,84.16487351,5.195861981,10.62168306,0.017581446,3.3,451371,34032,10357,1208303,37.35577914,2.816512083,0.857152552
22,Kiambu,KBU,792333,91.7,6.8,5,0.2,2.6,2.2,0,0,1.5,1.2,0.3,0.2,1.5,0.1,0,0,0,0.8,11.1,58.1,0.7,22.3,7.1,0,0,258572,69596,96.5,97.5,3.5,2.4,0,0,,795241,26.9,22.3,18.5,0.1,0.2,1.9,10.6,0.1,0.2,0,0.4,0.2,22.2,63.9,2.5,0.1,0,0.6,0.4,1,0.2,1.2,1.4,24.7,23.3,40.3,2,0,0.1,4.8,0.1,0,0,0,76.5,0.1,1.8,18,1.4,0,1.4,0.5,0.1,61.4,19.6,70,6.3,39.1,16.3,6.9,19.6,12.4,1.5,0.5,67.8,,795241,9.1,24.9,0.5,15.3,45.9,3.3,0.3,0.1,0.5,0.2,0.3,4.2,0.6,0.2,8.9,0.3,10.3,22.8,30.2,3.6,1.6,8.8,8,214052,144311,20258,35825,118389,83597,0,5307,84991,1156534,1831761,7075,39567,5369,1767,20958,31152,31392,2160,9855,0,11748,0,,2.574826274,16320,4964,19574,9363,6842,5186,1532071,72.1751146,10.70648815,17.08993904,0.028458211,3,874338,113778,48998,2417600,36.16553607,4.706237591,2.026720715
23,Turkana,TUR,162627,8.6,73.1,2.8,0.1,0.9,1.8,0.3,49.1,18.3,6.2,12.1,18.2,1.8,0.2,0.7,0,0.1,0.4,0.4,1.9,0.4,79.8,16.7,0.2,0.1,79378,24758,53.1,56.8,45.3,41.8,1.5,1.3,,164519,37.2,8.7,34.4,0.2,2.7,3,82.1,2.7,1.5,0.4,0.2,0.2,1.2,10.9,0.8,16.4,27.5,28.5,3.3,0.9,0.4,0.2,3,5.9,5.3,1.8,2.3,1.5,2.5,0.4,0.1,41.3,19.5,1.2,33.1,0.3,0.4,0.3,0,0.9,0.1,2.8,0,12.1,2.1,7.4,0.9,4.4,4.2,4.8,1.9,1.3,0.4,0.4,16.6,,164519,0.4,1.4,0.2,3.3,18.9,6.8,0.8,68.1,0.1,0.7,5.1,30,1.2,1.4,3.3,11.7,13.2,2.5,6.5,0.1,0.2,2.9,21.2,61209,2206,2173,320425,1053756,1990929,261923,116806,992,43158,7663,2045,234,1836,345,0,0,0,0,0,0,0,0,,1.471268832,2907,1817,3184,2071,2230,1429,428119,47.15090898,29.89215615,22.87121104,0.085723829,5.6,495492,30068,11913,926955,53.45372753,3.243738909,1.285175656
24,West Pokot,PKT,115761,11.8,61.3,10,0.2,4.7,5.1,0.2,31.7,26.9,15.1,11.8,18.6,0.7,0.1,0,0,0,0.6,0.6,2.3,0.3,87.9,7.9,0.4,0,68708,24511,49.8,51.8,49.9,47.9,0.3,0.3,,116182,77.3,69,67.6,0.5,0.3,7,45.5,35.1,0.5,0.1,0.2,0,1.5,16.9,0.2,1,3,74.8,5.6,1.5,0.2,0.1,0.3,0.9,4.2,1.9,5.9,0,0,0.5,0,50.1,0.6,2.9,45.3,0.1,0.3,0.2,0.1,0,0.1,0.1,0.1,33.8,1.4,9.7,1,3.5,3.2,5.8,0.6,1.6,0.4,0.3,21.1,,116182,0.2,1.2,0.1,5.3,41.7,8.1,0.7,42.7,0,1.3,2.8,59.5,2.9,2.2,4.4,2.2,11.5,3.4,5.1,0.2,0.6,0.6,3.1,89828,49863,17632,349343,358293,764175,19389,8433,341,424179,23174,91636,1003,5458,368,0,1026,7535,1173,4426,0,0,0,,1.489795984,1909,1527,2271,1269,1249,1030,257578,72.17697164,7.182290413,20.62054989,0.02018806,5.3,361857,22823,8738,621226,58.24884985,3.673864262,1.406573453
25,Samburu,SMB,34987,20.9,48.3,40.1,0.5,7.2,32.4,0.2,2.1,30.8,27.4,3.4,4.5,0.8,0.4,0,0,0.1,0.3,3.3,4.1,0.3,73.6,18.2,0.1,0.1,31453,10665,44.9,46.1,54.7,53.5,0.4,0.4,,35070,72.1,67.5,49.4,0.1,2.3,1.2,70.1,0.5,0.1,0.2,0.1,0,2,26.1,0.8,0.4,1,52.9,11,1.3,0.4,0,0.1,0.9,8.3,19,4.2,0.1,0.1,0,0,4.2,9.1,0.2,84.7,0.1,0.6,0.2,0.1,0.1,0.3,0.2,0,37.2,2.4,18.3,2.4,5.3,14,10.2,3,1.3,0.4,0.4,31.9,,35070,0.6,8.7,0.5,10.4,24.3,6.6,0.6,48.2,0.1,18,13.4,2.8,2.6,0.4,0.1,0.8,0,4.8,12.3,0.2,0.8,3.7,39.7,25272,3028,1493,63415,18885,103849,739,163,75,120369,2461,522,88,57,5,0,0,0,0,0,0,0,0,,1.453016241,1302,553,1090,591,504,469,133547,72.49432784,9.645293417,17.84989554,0.010483201,4.7,175238,11911,5130,310320,56.47009539,3.838295953,1.653132251
26,Trans Nzoia,TRN,222989,37.9,30.7,26.2,0.4,9.8,16,0.1,0.7,31.4,23.9,7.5,1,2,0.7,0,0,0,0.6,3,8.7,0.4,69.8,17.3,0.2,0,97462,29005,68.7,75.9,31.1,23.9,0.1,0.2,,223808,62.7,58.1,43.3,0.3,0.3,2.3,20.4,39.7,0.2,0,0.1,0.1,6.1,32.2,1.1,0,0.2,59.5,6.6,2.8,0.4,0.1,0.1,1.4,7.1,3.1,18.5,0,0,0.2,0,2.3,0.1,0.9,94,0.1,1,0.6,0.6,0,0.2,0.1,0,57.3,4.9,34.3,4.2,11,20.6,12.7,3.7,4.9,0.9,0.4,40.4,,223808,1.7,4,0.2,13.9,64.6,13.8,0.4,1.4,0.1,1,0.3,15,15.5,2.5,22.7,2.9,16.3,5.3,7.4,0.3,0.8,2.7,7.4,140249,88662,6998,87808,136345,28199,0,5032,4832,689222,127352,8869,4623,10098,1120,2780,4089,26594,1987,6721,0,0,0,,2.416912633,6609,2727,6166,3639,2272,2522,483760,71.32317678,7.792913842,20.87419382,0.009715561,4.4,503282,47612,19142,990313,50.82049817,4.807772896,1.932924237
27,Uasin Gishu,USG,301110,63.8,12.8,9.6,0.2,5,4.4,0.1,0.3,23.4,14.9,8.5,0.8,1.7,0.3,0,0,0,0.9,5.6,24.6,0.4,46.5,22,0.1,0,118200,32983,88.9,92.7,11.1,7.3,0.1,0.1,,304943,46.4,43.3,34.3,0.2,0.2,1.7,14,20.6,0.3,0,0.3,0.2,13.2,49.7,1.7,0,0.1,33.9,2.8,2.1,0.3,0.5,1.3,9.9,23.6,8.2,12.2,0,0,5.2,0,0.9,0.1,0.4,92.8,0.1,1.6,1.5,1.8,0,0.6,0.2,0,60.1,10.1,47.3,5.3,20.4,18.2,10.4,8.3,8.5,1.2,0.3,51.4,,304943,9.6,10.9,0.2,14.4,55.3,8.6,0.3,0.5,0.2,0.8,0.4,5.1,2.5,1.5,23.4,7.4,14.9,13.2,16.5,0.8,1.3,2.7,9.4,141547,139722,10564,128136,219925,45854,148,2280,9132,779875,117777,18902,4499,2610,970,0,0,8430,1376,2505,0,0,0,,1.794167258,5644,2330,5666,2923,2312,1994,644588,68.81434343,10.08768392,21.08168318,0.016289475,3.8,510535,46760,19298,1163158,43.89214535,4.020090134,1.659103922
28,Elgeyo/Marakwet,EGM,99119,24.3,26.3,8.7,0.3,4.5,3.9,0.1,9.9,49.4,25.7,23.7,6.2,1.1,0.2,0,0,0,0.5,0.4,3.1,0.2,87.1,8.5,0.2,0,44098,13212,87.1,90,12.8,9.9,0.1,0,,99861,75,71.2,54.4,0.3,0.3,8.4,29.2,39.5,0.5,0.1,0.1,0,2.6,27.4,0.5,0.2,0.6,36.6,11.7,1,0.3,0.4,2.1,9.5,5.7,3.9,8.1,0,0,19.7,0,16.6,0.2,0.9,80.4,0.1,0.8,0.3,0.2,0,0.1,0.1,0.2,52.7,2,17.5,1.8,5,3.7,6.9,1.1,3.1,0.7,0.3,37.6,,99861,0.3,1.1,0,8.8,57.7,24.9,0.3,6.8,0,0.8,0.4,48.8,2.7,2.9,10.6,3.6,5.1,5.6,13,0.2,1,0.3,4.9,74881,38735,5273,106445,190031,99926,89,2766,412,267674,21742,23377,1982,1261,173,751,1390,5224,1632,6430,0,518,0,,1.551484373,1459,934,2050,973,980,655,226653,73.2630938,6.662607598,20.05620927,0.018089326,4.5,226835,24832,10893,454468,49.91220504,5.463971061,2.396868426
29,Nandi,NDI,199040,30.7,22.9,19.3,0.3,7.1,11.9,0.1,0.3,46.4,28.6,17.8,1.4,1.1,0.6,0,0,0,0.5,1,5.8,0.3,84.7,7.6,0.2,0,84741,23603,75.8,82.9,24,17,0.2,0.1,,199426,74.7,71.7,55.8,0.4,0.5,1.9,17.2,39.9,0.2,0,0.1,0,4.9,36.9,0.9,0,0.1,59.6,3.1,3.4,0.4,0.3,0.6,2.5,9.7,4.2,12.1,0,0,3.9,0,2,0.1,0.8,95,0.1,1.1,0.3,0.3,0,0.3,0,0,60.3,3.6,27.1,3.1,8.8,10.7,11.1,2.4,4.4,0.6,0.3,42.5,,199426,0.4,1.8,0.1,17.3,67.1,11.5,0.2,1.5,0,1.1,1.3,37.2,9.3,10.2,12.6,3.9,6.9,4.9,7.3,0.2,1.4,0.6,3.2,148887,125566,11376,106476,97712,35096,0,4344,862,639134,65254,14712,4382,2647,159,37564,11044,29356,1202,5806,0,0,0,,2.300581807,4655,2362,6221,2994,2197,1947,465984,76.53374365,5.381515245,18.07358193,0.011159181,4.4,418053,47594,20691,885689,47.20087977,5.373669539,2.336147338
30,Baringo,BAR,141877,28.3,39.7,11.7,0.3,6.6,4.8,0.1,18.2,32,21.9,10.1,8.3,1.1,0.1,0,0,0,0.4,0.4,4.1,0.3,81.4,13.3,0.1,0,64851,19697,73.1,74.9,26.5,24.8,0.3,0.3,,142518,70.5,59.2,56.4,0.4,0.6,5,47.2,15.4,1.3,0.1,0.2,0,2.5,32.8,0.4,1.9,3.2,36.5,3,0.2,0.1,0.3,3.1,18.6,7.3,5.5,1.3,0,0.1,18.8,0,22.3,0.4,1.2,74.3,0.1,0.8,0.3,0.3,0,0.1,0.2,0,51.8,3.2,23,2.9,8.2,7.1,8.2,1.9,4.1,0.6,0.3,35,,142518,0.3,2.1,0.1,12.4,45.7,8.3,0.3,30.8,0.1,2.2,10.4,46.5,1.6,1.9,3.2,1.2,10.1,3.6,9.1,0.3,3.4,3.2,3.4,100465,46244,16157,347445,343343,933727,38500,18109,432,536949,29239,154388,2700,1708,313,0,3069,12372,2605,10600,0,1673,0,,1.968053993,2757,1690,3805,1854,1799,1217,314757,73.24030919,8.569785581,18.18069177,0.009213457,4.7,349005,32970,14056,666750,52.34420697,4.94488189,2.108136483
